application_id_eri,application_id,info_source,applicant_id_eri,applicant_id,application_status,range,application_date,application_signed,followup_done,followup_details,applied_previously,applied_previously_date,previously_approved,application_experience,application_comments
Apply_94,MISSING,Historic,App_234,331.0,Permit Awarded,Orange Walk,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_95,MISSING,Historic,App_234,331.0,Permit Awarded,Orange Walk,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_96,MISSING,Historic,App_235,249.0,Permit Awarded,San Ignacio,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_97,BMP 84,Historic,App_237,None,,MISSING,2015-05-26 00:00:00,Yes,Yes,Owner moved,No,NA,NA,MISSING,NA
Apply_98,MISSING,Call,App_239,299.0,Permit Awarded,Belmopan,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Good,NA
Apply_99,CZL 104,Historic,App_240,None,,MISSING,2016-09-26 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_100,CZL 13,Historic,App_243,None,,MISSING,2014-11-30 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_101,CZL 99,Historic,App_246,None,,MISSING,2016-07-07 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_102,MISSING,Historic,App_247,215.0,Permit Awarded,San Ignacio,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_103,CZL 14,Historic,App_249,None,,MISSING,2014-12-15 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_105,BMP 25,Call,App_255,None,,MISSING,2014-12-19 00:00:00,MISSING,No,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_106,MISSING,Call,App_256,None,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA,Uncertain how his name is in the database. He didnt apply. His friend gave him the bird already banded.
Apply_107,MISSING,Call,App_258,None,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Good, no issues",NA
Apply_109,MISSING,Call,App_264,None,,MISSING,MISSING,MISSING,No,MISSING,MISSING,MISSING,MISSING,Straightforward,NA
Apply_110,BZ 54,Historic,App_265,314.0,Permit Awarded,Belmopan,2016-09-28 00:00:00,Yes,Yes,Approved after probation,No,NA,NA,MISSING,NA
Apply_111,MISSING,Historic,App_270,289.0,,Belmopan,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_112,MISSING,Historic,App_271,329.0,Permit Awarded,Belmopan,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_113,MISSING,Call,App_276,104.0,,San Ignacio,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Good,NA
Apply_115,MISSING,Historic,App_280,232.0,Permit Awarded,San Ignacio,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_116,MISSING,Historic,App_282,217.0,Permit Awarded,San Ignacio,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_117,MISSING,Call,App_286,None,,MISSING,MISSING,MISSING,No,MISSING,MISSING,MISSING,MISSING,FD said the would follow up but didn't,NA
Apply_118,MISSING,Historic,App_291,223.0,Permit Awarded,San Ignacio,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_119,MISSING,Historic,App_292,101.0,Permit Awarded,San Ignacio,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_120,CZL 115,Historic,App_293,None,,MISSING,2016-09-29 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_121,MISSING,Call,App_294,None,Permit Awarded,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,took a while,NA
Apply_122,CZL 94,Historic,App_298,None,,MISSING,2016-06-08 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_123,CZL 142,Historic,App_303,None,,MISSING,2016-10-25 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_124,MISSING,Call,App_304,None,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Applicant was not satisfied bc FD said they would return to band the birds, but never did.",NA
Apply_125,MISSING,Call,App_305,None,,MISSING,MISSING,MISSING,Yes,Just visited once but didn't get bird banded nor obtained permit,MISSING,MISSING,MISSING,Very professional,NA
Apply_126,CZL 34,Call,App_306,None,,MISSING,MISSING,MISSING,Yes,Inspected home to make sure minimun standards were met,MISSING,MISSING,MISSING,Good,After inspection FD said they would get back to her with the permit & band but didn't
Apply_127,MISSING,Call,App_309,None,Permit Awarded,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Was good, Fd explained all the regulations",NA
Apply_128,CZL 39,Historic,App_315,None,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_129,MISSING,Call,App_318,None,Permit Awarded,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Was complicated,NA
Apply_130,MISSING,Call,App_320,None,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Was okay,NA
Apply_131,CZL16,Historic,App_324,None,,MISSING,2014-06-13 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_132,BMP 24,Historic,App_325,None,,MISSING,2014-12-11 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_133,CZL 20,Historic,App_329,None,,MISSING,2014-07-02 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_134,MISSING,Historic,App_330,261.0,Permit Awarded,San Ignacio,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_135,MISSING,Historic,App_332,137.0,,Orange Walk,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_136,MISSING,Historic,App_337,112.0,Permit Awarded,Savannah,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_137,MISSING,Historic,App_338,290.0,Permit Awarded,Belmopan,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_138,MISSING,Historic,App_347,191.0,Permit Awarded,San Ignacio,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_139,CZL 138,Historic,App_351,340.0,Permit Awarded,Orange Walk,2016-10-25 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_140,CZL 146,Historic,App_352,None,,MISSING,2016-10-31 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_141,CZL 26,Historic,App_353,None,,MISSING,2015-03-26 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_142,CZL 41,Call,App_354,None,,MISSING,MISSING,MISSING,No,MISSING,MISSING,MISSING,MISSING,"Good, was expecting to hear back from FD but didn't",NA
Apply_143,CZL 32,Historic,App_359,None,,MISSING,2014-08-07 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_144,BMP 270,Historic,App_362,None,,MISSING,2014-12-22 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_145,MISSING,Historic,App_365,348.0,Permit Awarded,Orange Walk,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_146,MISSING,Historic,App_365,348.0,,Orange Walk,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_147,MISSING,Historic,App_366,301.0,Permit Awarded,Belmopan,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_148,CZL 95,Historic,App_370,None,,MISSING,2016-06-08 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_149,MISSING,Call,App_371,365.0,Permit Awarded,Orange Walk,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Was good,NA
