applicant_id_eri,bird_id_eri,banded,band_number,permit_id,species_id,Type of parrot(provided by applicant),Sex,parrot_age_description,parrot_age_months,date_parrot_age_described,pet_name,period_of_ownership_months,period_of_ownership_years,obtain_by,town_obtained,district_obtain,enclosure_type,cage_location,cage_size_feet,shared_separate,Comments
App_1745,Bird_1938,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Application,Pancha,24.0,2.0,Gifted,MISSING,MISSING,MISSING,MISSING,MISSING,NA,
App_1746,Bird_1939,,MISSING,MISSING,3.0,White-fronted Parrot,MISSING,5.0,60.0,Application,Cracker,60.0,5.0,Rescued,MISSING,MISSING,Caged,MISSING,MISSING,NA,Bird was rescued from a wildfire
App_1747,Bird_1940,,MISSING,MISSING,3.0,White-fronted Parrot,MISSING,1.0,12.0,Application,MISSING,12.0,1.0,Rescued,MISSING,MISSING,Caged,MISSING,MISSING,NA,
App_1748,Bird_1941,,MISSING,MISSING,3.0,White-fronted Parrot,Male,11.0,132.0,Application,Polly,11.0,132.0,Gifted,MISSING,MISSING,Caged,MISSING,MISSING,NA,
App_1749,Bird_1942,,MISSING,MISSING,2.0,Yellow-headed Parrot,MISSING,MISSING,MISSING,Application,MISSING,9.0,0.0,Gifted,MISSING,MISSING,Cage,Porch,MISSING,NA,It was caught in a chicken coop
App_1750,Bird_1943,,MISSING,MISSING,MISSING,White head small parrot,Female,MISSING,MISSING,Application,Cookie,72.0,6.0,Gifted,MISSING,MISSING,Free/Caged,Outside in yard,MISSING,NA,It had a previous owner but the person could no longer care for it.
App_1751,Bird_1944,,MISSING,MISSING,3.0,White-fronted Parrot,MISSING,1.0,12.0,Application,Pakiss,12.0,1.0,Found,MISSING,MISSING,Cage,MISSING,MISSING,NA,Found at owner'sn farm and was unable to fly
App_1752,Bird_1945,,MISSING,MISSING,MISSING,White-lored Amazon,Female,2.0,24.0,Application,Viento,24.0,2.0,Found,MISSING,MISSING,Cage,MISSING,4*4,NA,Viento suffers from prolapsed cloaca and is deemed non-rehabilitable due to illness - several vet visits 
App_1753,Bird_1946,,MISSING,MISSING,4.0,Mealy Parrot,MISSING,3.0,36.0,Application,Chico,24.0,2.0,Gifted,MISSING,MISSING,Cage,Outside in yard,MISSING,NA,
App_1754,Bird_1947,,MISSING,MISSING,MISSING,White-lored Amazon,Female,2.0,24.0,Application,Pelon,24.0,2.0,Gifted,MISSING,MISSING,Cage,MISSING,11*12,Shared,
App_1754,Bird_1948,,MISSING,MISSING,1.0,Red-lored Parrot,UNKNOWN,UNKNOWN,UNKNOWN,Application,Nopal,18.0,1.5,Found,MISSING,MISSING,Cage,MISSING,11*12,Shared,
App_1755,Bird_1949,,MISSING,MISSING,MISSING,Parrot,MISSING,10.0,120.0,Application,Lulu,120.0,10.0,Bought,MISSING,MISSING,Cage,MISSING,MISSING,NA,
App_1756,Bird_1950,,MISSING,MISSING,1.0,Red-lored Parrot,Male,2.0,24.0,Application,MISSING,MISSING,MISSING,Bought,MISSING,MISSING,MISSING,MISSING,MISSING,NA,
App_1757,Bird_1951,,MISSING,MISSING,MISSING,MISSING,Male,10.0,120.0,Application,Rico ,96.0,8.0,Gifted,MISSING,MISSING,Cage,MISSING,3*10*5,NA,
App_1758,Bird_1952,,MISSING,MISSING,1.0,Red-lored Parrot,Female,18.0,216.0,Application,Paly,216.0,18.0,Gifted,MISSING,MISSING,MISSING,MISSING,MISSING,NA,
App_1759,Bird_1953,,MISSING,MISSING,2.0,Yellow-headed Parrot,Male,3.0,36.0,Application,Patrick Escobar,36.0,3.0,Taken from the wild,Orange Walk Town,Orange Walk,MISSING,MISSING,MISSING,NA,The bird was found on the ground
App_1760,Bird_1954,,MISSING,MISSING,MISSING,Parrot,Female,17.0,204.0,Application,Rose,204.0,17.0,Missing,Missing,Missing,MISSING,MISSING,MISSING,NA,
App_1761,Bird_1955,,MISSING,MISSING,2.0,Yellow-headed Parrot,Male,4.0,48.0,Application,Pally,48.0,4.0,Gifted,MISSING,MISSING,MISSING,MISSING,MISSING,NA,
App_1762,Bird_1956,,MISSING,MISSING,2.0,Yellow-headed Parrot,UNKNOWN,3.0,36.0,Application,Kiwi Salazar,MISSING,MISSING,Bought,MISSING,MISSING,Free,NA,NA,NA,Sleeps indoor
App_1763,Bird_1957,,MISSING,MISSING,MISSING,Parrot,MISSING,12.0,24.0,Application,Twinkle,168.0,14.0,Gifted,MISSING,MISSING,MISSING,MISSING,MISSING,NA,
App_1764,Bird_1958,,MISSING,MISSING,1.0,Red-lored Parrot,MISSING,5.0,60.0,Application,Sebastian,MISSING,MISSING,Gifted,MISSING,MISSING,MISSING,MISSING,MISSING,NA,
App_1764,Bird_1959,,MISSING,MISSING,1.0,Red-lored Parrot,MISSING,1.0,12.0,Application,Paquito,MISSING,MISSING,Found,MISSING,MISSING,MISSING,MISSING,MISSING,NA,
