eri_bird_id,id,info_source,banded,applicant_id_eri,band_number,permit_id,eri_application_id,parrot_status,end_date,range,has_parrot,why_no_parrot,when_no_parrot,where_no_parrot,date_parrot_loss_info_provided,new_owner,new_owner_address,new_owner_contact,species_descrip_by_applicant,species_id,parrot_picture,period_of_ownership,period_of_ownership_months,date_period_provided,method_obtained,town_obtained,district_obtain,pet_name,sex,justification_sex_by_applicant,parrot_age_description,parrot_age_months,date_parrot_age_described,is_healthy,health_comments,health_comms_by_professional,stories,bird_comments
Bird_453,NULL,Call,false,App_482,NULL,NULL,Apply_188,NULL,NULL,Belmopan,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,Yes,6.0,72,Call date,Bought,Crooked Tree,NULL,Unknown,Unknown,NULL,6.0,72,Call date,true,NULL,NULL,NULL,Indian Church (orange walk)
Bird_454,NULL,Call,NULL,App_483,NULL,NULL,Apply_189,NULL,NULL,Belmopan,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,13.0,156,Call date,Rescued,Unknown,Unknown,No name,Unknown,NULL,13.0,156,Call date,true,NULL,NULL,NULL,"Birds were rescued as babies who didn't even have their eyes open yet from a reserve. His friend worked at the reserve and gave them to him to take care of. Also, another friend from Monkey bay will identify the sex of them soon. Applicant reported have a permit; All 4 parrots were approved and registered under the same permit."
Bird_455,NULL,Call,NULL,App_483,NULL,NULL,Apply_189,NULL,NULL,Belmopan,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,13.0,156,Call date,Rescued,Unknown,Unknown,No name,Unknown,NULL,13.0,156,Call date,true,NULL,NULL,NULL,Applicant reported have a permit; All 4 parrots were approved and registered under the same permit.
Bird_456,NULL,Call,NULL,App_483,NULL,NULL,Apply_189,NULL,NULL,Belmopan,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,12.0,144,Call date,Rescued,Unknown,Unknown,No name,Unknown,NULL,12.0,144,Call date,true,NULL,NULL,NULL,Applicant reported have a permit; All 4 parrots were approved and registered under the same permit.
Bird_457,NULL,Call,NULL,App_483,NULL,NULL,Apply_189,NULL,NULL,Belmopan,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,12.0,144,Call date,Rescued,Unknown,Unknown,No name,Unknown,NULL,12.0,144,Call date,true,NULL,NULL,NULL,Applicant reported have a permit; All 4 parrots were approved and registered under the same permit.
Bird_458,NULL,Call,false,App_484,NULL,NULL,Apply_190,NULL,NULL,SanIg,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,Yes,2024-04-05 00:00:00,54,Call date,Rescued,Santa Familia,Orange Walk,Coco,Unknown,NULL,2024-04-05 00:00:00,54,Call date,true,NULL,Looks like some diet dificiency based on plumage discoloration,NULL,Rescued-On property after a storm
Bird_459,NULL,Historic,false,App_487,NULL,NULL,Apply_191,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,Bought,NULL,NULL,NULL,NULL,NULL,16 years,NULL,Application date,NULL,NULL,NULL,NULL,cage 8x8 ft pen in the yard
Bird_460,NULL,Historic,false,App_489,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Taken from the Wild,NULL,NULL,NULL,NULL,NULL,3 years,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_461,NULL,Call,false,App_492,NULL,NULL,NULL,NULL,NULL,Orange Walk,false,Gave it away,Several years ago,Eiley subdivision,Call date,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Bought,NULL,NULL,Peaches,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Applicant changed address and was no longer able to look after the birds so he spread the word that he was giving them away and random people arrived and took them. The majority owere taken to Corozal. FD has note that parrots were released to wild.
Bird_462,NULL,Call,false,App_492,NULL,NULL,NULL,NULL,NULL,Orange Walk,false,Gave it away,Several years ago,Eiley subdivision,Call date,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Bought,NULL,NULL,Beteta,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Applicant changed address and was no longer able to look after the birds so he spread the word that he was giving them away and random people arrived and took them. The majority owere taken to Corozal. FD has note that parrots were released to wild.
Bird_463,NULL,Call,false,App_492,NULL,NULL,NULL,NULL,NULL,Orange Walk,false,Gave it away,Several years ago,Eiley subdivision,Call date,NULL,NULL,NULL,Mealy Parrot,4,NULL,NULL,NULL,NULL,Bought,NULL,NULL,Bow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Applicant changed address and was no longer able to look after the birds so he spread the word that he was giving them away and random people arrived and took them. The majority owere taken to Corozal. FD has note that parrots were released to wild.
Bird_464,NULL,Call,false,App_492,NULL,NULL,NULL,NULL,NULL,Orange Walk,false,Gave it away,Several years ago,Eiley subdivision,Call date,NULL,NULL,NULL,Mealy Parrot,4,NULL,NULL,NULL,NULL,Bought,NULL,NULL,April,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Applicant changed address and was no longer able to look after the birds so he spread the word that he was giving them away and random people arrived and took them. The majority owere taken to Corozal. FD has note that parrots were released to wild.
Bird_465,NULL,Call,false,App_492,NULL,NULL,NULL,NULL,NULL,Orange Walk,false,Gave it away,Several years ago,Eiley subdivision,Call date,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Bought,NULL,NULL,Summer,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Applicant changed address and was no longer able to look after the birds so he spread the word that he was giving them away and random people arrived and took them. The majority owere taken to Corozal. FD has note that parrots were released to wild.
Bird_466,NULL,Historic,true,App_493,GOB A 796,37,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Palley,NULL,NULL,3.0,36,Application date,NULL,NULL,NULL,NULL,NULL
Bird_467,NULL,Historic,true,App_493,GOB A 797,37,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Palley,NULL,NULL,1.0,12,Application date,NULL,NULL,NULL,NULL,NULL
Bird_468,NULL,Historic,false,App_497,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Olive-throated Parakeet,5,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Potentially 2 birds
Bird_469,NULL,Historic,false,App_499,NULL,NULL,NULL,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,Female,NULL,1month,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_470,NULL,Historic,false,App_500,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Bill,Male,NULL,7 years,NULL,Application date,NULL,NULL,NULL,NULL,Belize River Valley
Bird_471,NULL,Historic,false,App_501,NULL,NULL,Apply_195,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,5 MONTHS,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_472,173.0,Historic,true,App_502,GOB A 072,379,Apply_196,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Tita,NULL,NULL,60.0,720,Application date,NULL,NULL,NULL,NULL,NULL
Bird_473,NULL,Historic,false,App_505,NULL,NULL,NULL,NULL,NULL,Savannah,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Taken from the Wild,NULL,NULL,Isha,NULL,NULL,4 yrs,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_474,NULL,Historic,false,App_506,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_475,NULL,Call,false,App_507,NULL,NULL,NULL,NULL,NULL,Belmopan,false,Flew away,2016.0,Belize City,Call date,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Miss Toress requrested us to do posts on the media encouraging people to help wildlife & provide water & food in our backyards for whenever these animals stop by, especially in our current weather & wildfire conditons. Also, she said that if there is any bird that needs a home- feel free to contact her. She is willing to take cae of it/them."
Bird_476,NULL,Historic,false,App_508,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ellie,NULL,NULL,3 years,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_477,219.0,Historic,true,App_510,CWP FD 246,216,Apply_198,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Chiwi,NULL,NULL,6 months,NULL,Application date,NULL,NULL,NULL,NULL,During the day stays on the veranda
Bird_478,NULL,Historic,false,App_511,NULL,NULL,Apply_199,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Bought,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_479,NULL,Call,false,App_518,NULL,NULL,NULL,NULL,NULL,SanIg,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,Yes,11.0,132,Call date,Rescued,Bullet Tree,NULL,Samy,Unknown,NULL,12.0,144,Call date,true,NULL,NULL,NULL,NULL
Bird_480,18.0,Call,true,App_520,CWP FD 603,4,Apply_203,NULL,2014-10-03,SanIg,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-crowned Parrot,7,NULL,28.0,336,Call date,Gifted,Cristo Rey,Cayo,Lully,Female,Lays eggs,28.0,336,Call date,true,NULL,NULL,NULL,NULL
Bird_481,NULL,Historic,false,App_521,NULL,NULL,Apply_204,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Olive-throated Parakeet,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_482,NULL,Historic,false,App_522,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_483,NULL,Call,true,App_525,CWP FD 189,419,Apply_206,NULL,NULL,Belmopan,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,Yes,30.0,360,Call date,Gifted,Belmopan,Cayo,Polly,Unknown,NULL,40.0,480,Call date,true,NULL,Some plumage discoloration on the nape,NULL,NULL
Bird_484,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Archived,2024-10-08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Was an additional parrot registered with App_525, however App_525 has only owned one parrot, which is Bird_483"
Bird_485,NULL,Historic,false,App_531,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_486,NULL,Call,false,App_532,NULL,NULL,NULL,NULL,NULL,Belmopan,false,Died,3 yrs ago,Hydes Lane,Call date,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_487,96.0,Historic,true,App_533,CWP FD 051,65,Apply_208,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_488,NULL,Historic,false,App_535,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_489,NULL,Historic,false,App_537,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Bought,NULL,NULL,Dollores,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_490,NULL,Historic,false,App_539,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Bought,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_491,NULL,Historic,false,App_540,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,Taken from the Wild,NULL,NULL,Rosita,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_492,NULL,Historic,false,App_543,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,36.0,432,Application date,NULL,NULL,NULL,NULL,NULL
Bird_493,NULL,Historic,false,App_544,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,2 months,NULL,Application date,NULL,NULL,NULL,NULL,"Outdoor on a tree in day time, in a cage nightime"
Bird_494,NULL,Historic,false,App_545,NULL,NULL,NULL,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Loritt,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_495,NULL,Historic,false,App_546,NULL,NULL,NULL,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Teddy,Male,NULL,5 years,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_496,NULL,Historic,false,App_546,NULL,NULL,NULL,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Pearl,Female,NULL,5 years,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_497,NULL,Historic,false,App_547,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Aurelio,NULL,NULL,36.0,432,Application date,NULL,NULL,NULL,NULL,NULL
Bird_498,NULL,Historic,false,App_547,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Pito,NULL,NULL,24.0,288,Application date,NULL,NULL,NULL,NULL,NULL
Bird_499,NULL,Call,true,App_549,CWP FD 797,13,Apply_211,NULL,NULL,SanIg,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,8.0,96,Call date,Bought,Santa Elena,Cayo,Arthurito,Male,Assumption,8.0,96,Call date,true,NULL,NULL,NULL,NULL
Bird_500,NULL,Historic,false,App_552,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,Found,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_501,226.0,Call,true,App_555,GOB A 103,223,Apply_214,NULL,NULL,NULL,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,Yes,15.0,180,Call date,Flew To Applicant,Ambergris Caye,NULL,Pauly,Female,Only likes males,20.0,240,Call date,true,NULL,Diet dificiency based on plumage discoloration on the nape,NULL,"Fled into mothers yard after a hurricane, stayed there & no one claimed it."
Bird_502,NULL,Historic,false,App_559,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Taken from the Wild,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_503,NULL,Call,false,App_560,NULL,NULL,NULL,NULL,NULL,Orange Walk,false,Flew away,2018.0,2 Barrier Reef Drive,Call date,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,Bought,NULL,NULL,NULL,NULL,NULL,2 years,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_504,NULL,Call,false,App_560,NULL,NULL,NULL,NULL,NULL,Orange Walk,false,Flew away,2018.0,2 Barrier Reef Drive,Call date,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,Bought,NULL,NULL,NULL,NULL,NULL,4Yrs,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_505,NULL,Historic,false,App_563,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Polly,NULL,NULL,7.0,84,Application date,NULL,NULL,NULL,NULL,NULL
Bird_506,NULL,Historic,false,App_563,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Polly,NULL,NULL,7.0,84,Application date,NULL,NULL,NULL,NULL,NULL
Bird_507,NULL,Historic,false,App_564,NULL,NULL,Apply_218,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_508,NULL,Historic,false,App_565,NULL,NULL,Apply_219,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Olive-throated Parakeet,5,NULL,NULL,NULL,NULL,Taken from the Wild,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_509,NULL,Historic,false,App_565,NULL,NULL,Apply_219,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Taken from the Wild,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_510,NULL,Call,false,App_567,NULL,NULL,NULL,NULL,NULL,Belmopan,false,Died,2023.0,#2 Carassow St,Call date,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Max,NULL,NULL,2 years,NULL,Application date,NULL,NULL,NULL,NULL,a lady from mascal
Bird_511,134.0,Historic,true,App_568,CWP FD 261,94,Apply_221,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mealy Parrot,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_512,188.0,Call,true,App_570,GOB A 088,393,Apply_222,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,8.0,96,Call date,Gifted,San Ignacio,Cayo,Kiwi,Female,FD said,10.0,120,Call date,true,NULL,NULL,NULL,NULL
Bird_513,261.0,Historic,true,App_571,CWP FD 825,456,Apply_223,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Thokiy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cancelled Entry.
Bird_514,262.0,Historic,true,App_571,CWP FD 377,456,Apply_223,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Paco,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cancelled Entry.
Bird_1800,280.0,Historic,true,App_571,CWP FD 825,457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Thokiy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_1801,281.0,Historic,true,App_571,CWP FD 377,457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Bought,NULL,NULL,Paco,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_515,NULL,Historic,false,App_572,NULL,NULL,Apply_225,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Florita,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,My home in a cage
Bird_516,97.0,Historic,true,App_573,CWP FD 562,66,Apply_226,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,Taken from the Wild,NULL,NULL,Lolita,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_517,348.0,Call,true,App_577,0.0,0,Apply_229,NULL,NULL,SanIg,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,3,Yes,2.0,24,Call date,Gifted,Unknown,Unknown,Juju,Unknown,NULL,2.0,24,Call date,true,NULL,Looks healthy,NULL,Band fell off; FD comment says 'Not entered missing information'
Bird_518,NULL,Historic,false,App_579,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Bought,NULL,NULL,Inger,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_519,NULL,Historic,false,App_583,NULL,NULL,NULL,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,1.0,12,Application date,NULL,NULL,NULL,NULL,NULL
Bird_520,NULL,Historic,false,App_586,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Taken from the Wild,NULL,NULL,Conchi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_521,NULL,Historic,false,App_588,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Tweety,Female,NULL,13 years,NULL,Application date,NULL,NULL,NULL,NULL,A gift
Bird_522,NULL,Historic,false,App_590,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Torture,NULL,NULL,2.0,24,Application date,NULL,NULL,NULL,NULL,NULL
Bird_523,NULL,Historic,false,App_591,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Yesi,NULL,NULL,36.0,432,Application date,NULL,NULL,NULL,NULL,NULL
Bird_524,NULL,Historic,false,App_592,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Taken from the Wild,NULL,NULL,NULL,NULL,NULL,1.0,12,Application date,NULL,NULL,NULL,NULL,Wild Caught during Wild Fire
Bird_525,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Archived,2024-10-08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Accidental duplicate of another bird
Bird_526,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Archived,2024-10-08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Accidental duplicate of another bird
Bird_527,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Archived,2024-10-08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Accidental duplicate of another bird
Bird_528,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Archived,2024-10-08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Accidental duplicate of another bird
