eri_bird_id,id,info_source,banded,applicant_id_eri,band_number,permit_id,eri_application_id,parrot_status,end_date,range,has_parrot,why_no_parrot,when_no_parrot,where_no_parrot,date_parrot_loss_info_provided,new_owner,new_owner_address,new_owner_contact,species_descrip_by_applicant,species_id,parrot_picture,period_of_ownership,period_of_ownership_months,date_period_provided,method_obtained,town_obtained,district_obtain,pet_name,sex,justification_sex_by_applicant,parrot_age_description,parrot_age_months,date_parrot_age_described,is_healthy,health_comments,health_comms_by_professional,stories,bird_comments
App_1677,Bird_1852,NULL,NULL,NULL,Undefined,Undefined,NULL,0.0,5.0,Application,NULL,5.0,0.0,Gifted,NULL,NULL,Free/Caged,NULL,NULL,NULL,Only in cage at night,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1677,Bird_1853,NULL,NULL,NULL,4.0,Mealy Parrot,NULL,0.0,5.0,Application,NULL,5.0,0.0,Gifted,NULL,NULL,Free/Caged,NULL,NULL,NULL,Only in cage at night,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1678,Bird_1854,NULL,NULL,NULL,NULL,Parrot,Male,UNKNOWN,UNKNOWN,Application,NULL,264.0,22.0,Gifted,Isabella Bank,Belize,Free,NULL,NULL,NULL,Bird is in the care of grandparents at family home/ kept inside or on veranda,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1680,Bird_1856,NULL,NULL,NULL,NULL,Parrot,NULL,8.0,96.0,Application,NULL,96.0,8.0,Gifted,NULL,NULL,Free,NULL,NULL,NULL,Freely moves in garden,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1681,Bird_1857,NULL,NULL,NULL,NULL,Blue fronted Parrot,Female,9 months,9.0,Application,NULL,8.0,0.0,Gifted,NULL,NULL,Cage,NULL,NULL,NULL,Housed in big moveable cage,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1682,Bird_1858,NULL,NULL,NULL,NULL,Yellow head Amazon Parrot,Male,UNKNOWN,UNKNOWN,Application,NULL,6.0,0.0,Found,Las Flores,Cayo,Free/Caged,Indoor,NULL,NULL,"Not purchased nor captured, kept in cage during the day",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1683,Bird_1859,NULL,NULL,NULL,1.0,Red-lored Parrot,NULL,3.0,36.0,Application,NULL,36.0,3.0,Rescued,Buena Vista Village,Cayo,Caged,Outdoor next to a tree,NULL,NULL,"Housed in a spacious outdoor cage, explores tree nearby",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1684,Bird_1860,NULL,NULL,NULL,NULL,Tropical Parrot,UNKNOWN,UNKNOWN,UNKNOWN,Application,NULL,192.0,16.0,Rescued,NULL,NULL,Cage,NULL,NULL,NULL,Rescued from 2 pitbulls,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1685,Bird_1861,NULL,NULL,NULL,NULL,Parrot,Male,NULL,NULL,Application,NULL,NULL,NULL,Gifted,NULL,NULL,Free,NULL,NULL,NULL,Inside the house,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1686,Bird_1862,NULL,NULL,NULL,4.0,Mealy Parrot,UNKNOWN,UNKNOWN,UNKNOWN,Application,NULL,NULL,NULL,Gifted,NULL,NULL,Undefined,NULL,NULL,NULL,Undefined- person did not specify which parrot is caged and which is free,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
