eri_application_id,application_id,info_source,applicant_id_eri,applicant_id,status,range,application_date,application_signed,followup_done,followup_details,applied_previously,applied_previously_date,previously_approved,application_experience,application_comments
Apply_123,CZL 142,Historic,App_303,NULL,NULL,NULL,2016-10-25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_124,NULL,Call,App_304,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Applicant was not satisfied bc FD said they would return to band the birds, but never did.",NULL
Apply_125,NULL,Call,App_305,NULL,NULL,NULL,NULL,NULL,true,Just visited once but didn't get bird banded nor obtained permit,NULL,NULL,NULL,Very professional,NULL
Apply_126,CZL 34,Call,App_306,NULL,NULL,NULL,NULL,NULL,true,Inspected home to make sure minimun standards were met,NULL,NULL,NULL,Good,After inspection FD said they would get back to her with the permit & band but didn't
Apply_127,NULL,Call,App_309,NULL,Permit Awarded,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Was good, Fd explained all the regulations",NULL
Apply_128,CZL 39,Historic,App_315,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_129,NULL,Call,App_318,NULL,Permit Awarded,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Was complicated,NULL
Apply_130,NULL,Call,App_320,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Was okay,NULL
Apply_131,CZL16,Historic,App_324,NULL,NULL,NULL,2014-06-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_132,BMP 24,Historic,App_325,NULL,NULL,NULL,2014-12-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_133,CZL 20,Historic,App_329,NULL,NULL,NULL,2014-07-02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_134,NULL,Historic,App_330,261,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_135,NULL,Historic,App_332,137,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_136,NULL,Historic,App_337,112,Permit Awarded,Savannah,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_137,NULL,Historic,App_338,290,Permit Awarded,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_138,NULL,Historic,App_347,191,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_139,CZL 138,Historic,App_351,340,Permit Awarded,Orange Walk,2016-10-25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_140,CZL 146,Historic,App_352,NULL,NULL,NULL,2016-10-31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_141,CZL 26,Historic,App_353,NULL,NULL,NULL,2015-03-26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_142,CZL 41,Call,App_354,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,"Good, was expecting to hear back from FD but didn't",NULL
Apply_143,CZL 32,Historic,App_359,NULL,NULL,NULL,2014-08-07,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_144,BMP 270,Historic,App_362,NULL,NULL,NULL,2014-12-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_145,NULL,Historic,App_365,348,Permit Awarded,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_146,NULL,Historic,App_365,348,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_147,NULL,Historic,App_366,301,Permit Awarded,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_148,CZL 95,Historic,App_370,NULL,NULL,NULL,2016-06-08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_149,NULL,Call,App_371,365,Permit Awarded,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Was good,NULL
Apply_150,NULL,Historic,App_372,188,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_151,CZL 43,Historic,App_373,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_152,CZL 149,Historic,App_374,NULL,NULL,NULL,2016-10-19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_153,NULL,Call,App_375,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,NULL,NULL
Apply_155,CZL 68,Historic,App_378,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
