permit_number,id,info_source,applicant_id_eri,applicant_id,status,picture_url,range,reference_number,issue_date,housing,number_of_pets,permit_comments
51,98,2024 FD Database,App_49,93,Suspended,,Belmopan,FD/GEN/42/3/14,,Suspended,1,
52,99,2024 FD Database,App_332,137,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
53,100,2024 FD Database,App_1034,138,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,"Bird that died had a permit, but new bird does not"
54,101,2024 FD Database,App_480,139,Active,,Orange Walk,FD/GEN/42/3/14,,Active,2,
55,102,Call,App_1071,,,https://drive.google.com/drive/folders/1-28flgc4CUAgCjiRNZm5YT1cJvi51Fmz?usp=drive_link,Orange Walk,,2018-10-04,,1,
55,102,2024 FD Database,App_1563,134,Active,,Orange Walk,FD/GEN/42/3/14,,,2,
56,103,2024 FD Database,App_727,153,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
57,104,2024 FD Database,App_1295,122,Active,,Savannah,FD/GEN/42/3/14,,Active,2,
58,105,2024 FD Database,App_1296,123,Active,,Savannah,FD/GEN/42/3/14,,Active,1,
59,106,2024 FD Database,App_1305,124,Active,,Savannah,FD/GEN42/3/14,,Active,2,
60,107,2024 FD Database,App_1298,125,Active,,Savannah,FD/GEN/42/3/14,,Active,2,
65,108,2024 FD Database,App_533,160,Active,,San Ignacio,FD/GEN/42/3/14,2015-06-16,Active,1,
66,109,2024 FD Database,App_573,187,Processing,,San Ignacio,FD/GEN/42/3/14,2015-06-16,Processing,0,
67,,Historic,App_4,,,,,,2016-10-02,,1,
68,111,2024 FD Database,App_79,190,Active,,San Ignacio,FD/GEN/42/3/14,2016-10-02,Active,1,
69,112,2024 FD Database,App_347,191,Active,,San Ignacio,FD/GEN/42/3/14,2016-10-02,Active,1,
70,113,2024 FD Database,App_43,194,Active,,San Ignacio,FD/GEN/42/3/14,2015-06-16,Active,2,
71,114,2024 FD Database,App_151,195,Active,,San Ignacio,FD/GEN/42/3/14,2015-06-16,Active,1,
72,115,2024 FD Database,App_1308,201,Active,,San Ignacio,FD/GEN/42/3/14,2015-06-16,Active,1,
75,118,2024 FD Database,App_58,211,Processing,https://drive.google.com/drive/folders/1-28flgc4CUAgCjiRNZm5YT1cJvi51Fmz?usp=drive_link,San Ignacio,FD/GEN/42/3/14,2016-02-17,Processing,2,
76,110,2024 FD Database,App_372,188,Active,,San Ignacio,FD/GEN/42/3/14,2016-02-17,Active,1,
76,110,2024 FD Database,App_1307,188,Active,,San Ignacio,FD/GEN/14/3/14,,Active,1,
77,120,2024 FD Database,App_692,213,Active,,San Ignacio,FD/GEN/42/3/14,2016-02-17,Active,1,
78,121,2024 FD Database,App_1246,214,Active,,San Ignacio,FD/GEN/42/3/14,2016-02-17,Active,1,
79,122,2024 FD Database,App_247,215,Active,,San Ignacio,FD/GEN/42/3/14,2016-02-23,Active,2,
